Version Group Code,Location
DPPt,Mystery Zone
DPPt,Sandgem Town
DPPt,Solaceon Town
DPPt,Jubilife City
DPPt,Sinnoh
DPPt,Pal Park
DPPt,Amity Square
DPPt,Fullmoon Island
DPPt,Galactic HQ
DPPt,Verity Lakefront
DPPt,Battle Tower
DPPt,Fight Area
DPPt,Survival Area
DPPt,Seabreak Path
DPPt,Jubilife TV
DPPt,Pokétch Co.
DPPt,GTS
DPPt,Trainers' School
DPPt,Mining Museum
DPPt,Flower Shop
DPPt,Cycle Shop
DPPt,Contest Hall
DPPt,Poffin House
DPPt,Pokémon Day Care
DPPt,Veilstone Store
DPPt,Game Corner
DPPt,Canalave Library
DPPt,Vista Lighthouse
DPPt,Sunyshore Market
DPPt,Pokémon Mansion
DPPt,Footstep House
DPPt,Cafe
DPPt,DP
DPPt,Pt
DPPt,HGSS
DPPt,Grand Lake
DPPt,Restaurant
DPPt,Battle Park
DPPt,Battle Frontier
DPPt,Battle Factory
DPPt,Battle Castle
DPPt,Battle Arcade
DPPt,Battle Hall
DPPt,Distortion World
DPPt,Villa
DPPt,Battleground
DPPt,ROTOM's Room
DPPt,T.G. Eterna Bldg
HGSS,Mahogany Town
HGSS,Cerulean Cave
HGSS,Radio Tower
HGSS,Lighthouse
HGSS,Team Rocket HQ
HGSS,Goldenrod Tunnel
HGSS,Victory Road
HGSS,Kanto
HGSS,Dragon's Den
HGSS,Pokéathlon Dome
HGSS,S.S. Aqua
HGSS,Frontier Access
HGSS,Bellchime Trail
HGSS,Sinjoh Ruins
HGSS,Pokéwalker
DPPt,Day-Care Couple
DPPt,Link trade (arrive)
DPPt,Johto
DPPt,Hoenn
DPPt,Distant land
DPPt,Traveling Man
DPPt,Riley
DPPt,Cynthia
HGSS,Mr. Pokémon
HGSS,Primo
DPPt,Lovely place
DPPt,Pokémon
DPPt,Ran
DPPt,ger
DPPt,Faraway place
DPPt,Pokémon Movie
DPPt,Pokémon Movie 06
DPPt,Pokémon Movie 07
DPPt,Pokémon Movie 08
DPPt,Pokémon Movie 09
DPPt,Pokémon Movie 10
DPPt,Pokémon Movie 11
DPPt,Pokémon Movie 12
DPPt,Pokémon Movie 13
DPPt,Pokémon Movie 14
DPPt,Pokémon Movie 15
DPPt,Pokémon Movie 16
DPPt,Pokémon Cartoon
DPPt,Space World
DPPt,06
DPPt,07
DPPt,08
DPPt,09
DPPt,10
DPPt,11
DPPt,12
DPPt,13
DPPt,14
DPPt,15
DPPt,16
DPPt,Pokémon Festa
DPPt,Pokémon Center
DPPt,Tokyo
DPPt,Osaka
DPPt,Fukuoka
DPPt,Nagoya
DPPt,Sapporo
DPPt,Yokohama
DPPt,Nintendo World
DPPt,Wi-Fi
DPPt,Gift
DPPt,Pokémon Fan Club
DPPt,Concert
